 Version  |      Date      |                                 Description 
-------------------------------------------------------------------------------------------------------------------------------------
  1.6.6   |   2025-03-16   |  Removed numexpr dependency. Performance improvements.   
  1.6.5   |   2025-03-12   |  Removed Airy Disc Weighting and Irradiance Maximum focus methods. Renamed Position Variance to RMS Spot Size and made it more performant. New Image Center Sharpness focus mode.   
  1.6.4   |   2025-02-28   |  Renamed focus functions, image profiles and convolution parameters.   
  1.6.3   |   2025-02-28   |  New custom UI elements that can be assigned before starting the GUI.   
  1.6.2   |   2025-02-04   |  Support for python 3.13   
  1.6.1   |   2024-11-27   |  New IOL_pinhole_imaging example.   
  1.6.0   |   2024-11-20   |  Licensed with MIT License   
  1.5.12  |   2024-11-19   |  Replaced PyQt5 dependency with PySide6   
  1.5.11  |   2024-10-16   |  New LED-BH1, LED-RGB1, LED-V1, LED-V2 standard illuminants.   
  1.5.10  |   2024-10-10   |  numpy 2.0 support. In Perceptual RI remaining out-of-gamut colors are handled with Absolute RI   
  1.5.9   |   2024-08-23   |  Dark mode options for GUI and pyplots. Everything is now dark by default.   
  1.5.8   |   2024-04-17   |  Function select_rays for manually selecting custom rays for the scene.   
  1.5.7   |   2024-03-21   |  Support for Python 3.12 and vtk 9.3.   
  1.5.6   |   2024-02-28   |  Migrated from setup.py to pyproject.toml. There's now a ray RAM limit.   
  1.5.5   |   2024-01-10   |  Removed tracing with absorb_missing=False. Renamed multiple TraceGUI traits.   
  1.5.4   |   2024-01-09   |  detector_image() and detector_cut() in TraceGUI now support extent parameter. New pick_ray(), pick_ray_section() and reset_picking() functions in TraceGUI.   
  1.5.3   |   2024-01-05   |  New LinearImage, RGBImage classes. RImage renamed to RenderImage. RaySource now supports LinearImage.   
  1.5.2   |   2023-12-29   |  Replaced Pillow by cv. New GUI automation and keratoconus example. Convolution now supports slicing and padding. New Image class. Options are now defined in optrace.global_options.   
  1.5.1   |   2023-12-08   |  Output texts are now warnings. Threading, warning and figure parameters are now set globally. Hide_labels property in TraceGUI. Improved microscope example.   
  1.5.0   |   2023-11-29   |  TraceGUI has now set_camera, get_camera and screenshot functions. Picked ray is highlighted in the scene. All plots in optrace.plots now can be saved by providing a path.   
  1.4.7   |   2023-08-17   |  New 'converging' ray source orientation mode.   
  1.4.6   |   2023-08-16   |  New Siemens Star and TV test card image presets.   
  1.4.5   |   2023-08-06   |  Replaced image presets with better ones.   
  1.4.4   |   2023-06-19   |  New parameters for sRGB Perceptual RI. Resolution filter is now an Airy disc.   
  1.4.3   |   2023-04-12   |  Support for convolution of both colored PSF and image.   
  1.4.2   |   2023-03-21   |  Rewrite of convolution functionality. Now faster and more robust.   
  1.4.1   |   2023-03-21   |  New PSF presets.   
  1.4.0   |   2023-03-02   |  New image convolution feature.   
  1.3.7   |   2023-02-07   |  New Volume classes to plot orientation volumes in the gui. Moved markers to their own submodule.   
  1.3.6   |   2023-02-03   |  TraceGUI command window now has the option to copy the history to the clipboard. Better documentation dark mode support.   
  1.3.5   |   2023-02-03   |  Qt UI theme can now be set using a TraceGUI parameter.   
  1.3.4   |   2023-02-01   |  Theme and configuration changes for the documentation.   
  1.3.3   |   2023-01-31   |  Documentation restructuring. Renamed names 'chromacity' to 'chromaticity'.   
  1.3.2   |   2023-01-25   |  Added ideal_camera geometry preset.   
  1.3.1   |   2023-01-23   |  Renamed Marker to PointMarker. New LineMarker element class.   
